file_info,news_id,short_text,total_count,dod_web_path,stock_name,title,file_type,date_time,long_text,stock_code,file_link,auditor
934KB,9231504,"Financial Statements/ESG Information - [Annual Report / Environmental, Social and Governance Information/Report]<br/>",2500,,CROSS-HAR(HOLD),2019 ANNUAL REPORT,PDF,09/04/2020 16:36,"Financial Statements/ESG Information - [Annual Report / Environmental, Social and Governance Information/Report]",00032,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0409/2020040900382.pdf,"('KPMG',)"
10MB,9231484,Financial Statements/ESG Information - [Annual Report]<br/>,2500,,MTR CORPORATION,Annual Report 2019,PDF,09/04/2020 16:33,Financial Statements/ESG Information - [Annual Report],00066,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0409/2020040900362.pdf,"('KPMG',)"
792KB,9231480,Financial Statements/ESG Information - [Annual Report]<br/>,2500,,Y.T. REALTY,2019 ANNUAL REPORT,PDF,09/04/2020 16:32,Financial Statements/ESG Information - [Annual Report],00075,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0409/2020040900358.pdf,"('Ernst & Young',)"
11MB,9231470,"Financial Statements/ESG Information - [Annual Report / Environmental, Social and Governance Information/Report]<br/>",2500,,CHINA TELECOM,ANNUAL REPORT 2019,PDF,09/04/2020 16:30,"Financial Statements/ESG Information - [Annual Report / Environmental, Social and Governance Information/Report]",00728,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0409/2020040900348.pdf,"('Deloitte Touche Tohmatsu',)"
2MB,9231468,"Financial Statements/ESG Information - [Annual Report / Environmental, Social and Governance Information/Report]<br/>",2500,,WEIQIAO TEXTILE,Annual Report 2019,PDF,09/04/2020 16:30,"Financial Statements/ESG Information - [Annual Report / Environmental, Social and Governance Information/Report]",02698,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0409/2020040900346.pdf,"('SHINEWING (HK) CPA Limited',)"
3MB,9231177,Financial Statements/ESG Information - [Annual Report]<br/>,2500,,LEGEND FT N2107,Annual Report 2019,PDF,09/04/2020 15:23,Financial Statements/ESG Information - [Annual Report],05128,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0409/2020040900243.pdf,None
3MB,9230975,"Financial Statements/ESG Information - [Annual Report / Environmental, Social and Governance Information/Report]<br/>",2500,,CHINA FLAVORS,Annual Report 2019,PDF,09/04/2020 12:14,"Financial Statements/ESG Information - [Annual Report / Environmental, Social and Governance Information/Report]",03318,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0409/2020040900182.pdf,"('PricewaterhouseCoopers',)"
8MB,9230939,Financial Statements/ESG Information - [Annual Report]<br/>,2500,,CHU KONG SHIP,2019 ANNUAL REPORT,PDF,09/04/2020 12:01,Financial Statements/ESG Information - [Annual Report],00560,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0409/2020040900160.pdf,"('KPMG',)"
1MB,9230753,"Financial Statements/ESG Information - [Annual Report / Environmental, Social and Governance Information/Report]<br/>",2500,,KO YO GROUP,Annual Report 2019,PDF,09/04/2020 07:31,"Financial Statements/ESG Information - [Annual Report / Environmental, Social and Governance Information/Report]",00827,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0409/2020040900027.pdf,"('ZHONGHUI ANDA CPA Limited',)"
9MB,9230615,"Financial Statements/ESG Information - [Annual Report / Environmental, Social and Governance Information/Report]<br/>",2500,,TOWN HEALTH,2019 Annual Report,PDF,08/04/2020 21:10,"Financial Statements/ESG Information - [Annual Report / Environmental, Social and Governance Information/Report]",03886,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0408/2020040801203.pdf,"('Moore Stephens CPA Limited',)"
