result,url
[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0723/2020072301061.pdf
[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0723/2020072301013.pdf
"[(28,)]",https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0723/2020072300897.pdf
"[(53,)]",https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0723/2020072300893.pdf
"[(45,)]",https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0723/2020072300753.pdf
"[(20,), (73,)]",https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0723/2020072300731.pdf
"[(21,)]",https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0723/2020072300680.pdf
[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0723/2020072300678.pdf
"[(22,)]",https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0723/2020072300600.pdf
[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0723/2020072300590.pdf
"[(24,)]",https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0723/2020072300584.pdf
"[(22,)]",https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0723/2020072300556.pdf
"[(40,)]",https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0723/2020072300554.pdf
"[(22,)]",https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0723/2020072300498.pdf
[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0723/2020072300476.pdf
"[(42,)]",https://www1.hkexnews.hk/listedco/listconews/gem/2020/0723/2020072300452.pdf
"[(46,)]",https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0723/2020072300448.pdf
"[(72,)]",https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0723/2020072300444.pdf
"[(25,)]",https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0723/2020072300438.pdf
[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0723/2020072300426.pdf
"[(18,)]",https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0723/2020072300410.pdf
[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0723/2020072300399.pdf
"[(63,)]",https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0723/2020072300395.pdf
[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0723/2020072300391.pdf
"[(18,)]",https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0723/2020072300301.pdf
"[(24,)]",https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0723/2020072300219.pdf
"[(14,)]",https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0722/2020072201173.pdf
"[(85,)]",https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0722/2020072200865.pdf
[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0722/2020072200804.pdf
"[(93,)]",https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0722/2020072200757.pdf
"[(27,)]",https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0722/2020072200734.pdf
"[(34,)]",https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0722/2020072200653.pdf
"[(94,)]",https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0722/2020072200600.pdf
[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0722/2020072200596.pdf
"[(37,)]",https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0722/2020072200572.pdf
"[(72,)]",https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0722/2020072200554.pdf
[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0722/2020072200488.pdf
"[(49,)]",https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0722/2020072200478.pdf
"[(91,)]",https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0722/2020072200462.pdf
"[(79,)]",https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0722/2020072200440.pdf
"[(24,)]",https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0722/2020072200438.pdf
"[(111,)]",https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0722/2020072200434.pdf
"[(38,)]",https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0722/2020072200342.pdf
"[(22,)]",https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0722/2020072200312.pdf
"[(18,)]",https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0722/2020072200165.pdf
"[(23,)]",https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0722/2020072200027.pdf
"[(27,)]",https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0721/2020072101475.pdf
[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0721/2020072101273.pdf
[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0721/2020072101136.pdf
"[(45,)]",https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0721/2020072101044.pdf
"[(23,)]",https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0721/2020072100787.pdf
"[(61,)]",https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0721/2020072100713.pdf
"[(28,)]",https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0721/2020072100655.pdf
"[(94,)]",https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0721/2020072100653.pdf
"[(37,)]",https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0721/2020072100637.pdf
[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0721/2020072100609.pdf
"[(49,)]",https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0721/2020072100607.pdf
[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0721/2020072100601.pdf
"[(27,)]",https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0721/2020072100549.pdf
"[(42,)]",https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0721/2020072100487.pdf
"[(37,)]",https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0721/2020072100485.pdf
[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0721/2020072100333.pdf
[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0721/2020072100213.pdf
"[(22,)]",https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0720/2020072000988.pdf
"[(24,)]",https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0720/2020072000717.pdf
"[(42,)]",https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0720/2020072000601.pdf
"[(33,)]",https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0720/2020072000561.pdf
"[(28,)]",https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0720/2020072000518.pdf
"[(60,)]",https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0720/2020072000498.pdf
[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0720/2020072000494.pdf
"[(26,)]",https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0720/2020072000113.pdf
[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0719/2020071900019.pdf
"[(42,)]",https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0719/2020071900015.pdf
"[(63,)]",https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0717/2020071701202.pdf
"[(47,)]",https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0717/2020071701061.pdf
[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0717/2020071700849.pdf
"[(26,)]",https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0717/2020071700747.pdf
"[(28,)]",https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0717/2020071700726.pdf
"[(48,)]",https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0717/2020071700724.pdf
[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0717/2020071700637.pdf
[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0717/2020071700621.pdf
