,report_page_range,f.audit_fee_page,f.matched_pattern,url
527,"[(7, 8, 9, 10, 11, 12, 13, 14, 15)]",[],[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0615/2020061501417.pdf
541,"[(16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29)]",[],[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0604/2020060401839.pdf
543,"[(57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68)]",[],[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0603/2020060301119.pdf
547,"[(37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48)]",[],[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0531/2020053100009.pdf
556,"[(11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23)]",[],[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0528/2020052800670.pdf
557,"[(22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33)]",[],[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0527/2020052700591.pdf
584,"[(72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92)]",[],[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0515/2020051501765.pdf
590,"[(25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38)]",[],[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0515/2020051501248.pdf
591,"[(40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61)]",[],[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0515/2020051501177.pdf
604,"[(5, 6, 7, 8, 9, 10, 11, 12, 13, 14)]",[],[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0515/2020051500798.pdf
606,[],[],[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0515/2020051500775.pdf
